Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Ademola Lookman,FUL,10,833,2.0,2.0,2.0,3.05,2.29,1.44,5.89,2.62,0.33,0.25,0.16,0.49,0.40,0.64,0.28
Gabriel,ARS,12,1054,2.0,2.0,0.0,1.33,1.33,0.03,3.15,3.14,0.11,0.11,0.00,0.12,0.12,0.27,0.27
Richarlison,EVE,10,822,2.0,1.0,3.0,3.49,2.73,2.26,6.98,2.66,0.38,0.30,0.25,0.63,0.55,0.76,0.29
Solly March,BHA,12,1033,2.0,2.0,1.0,1.24,1.24,1.05,4.23,2.35,0.11,0.11,0.09,0.20,0.20,0.37,0.20
Phil Foden,MCI,9,500,2.0,2.0,1.0,1.78,1.78,0.73,3.17,0.76,0.32,0.32,0.13,0.45,0.45,0.57,0.14
Stuart Armstrong,SOU,11,943,2.0,2.0,2.0,0.82,0.82,0.62,2.74,1.72,0.08,0.08,0.06,0.14,0.14,0.26,0.16
Ezri Konsa Ngoyo,AVL,10,900,2.0,2.0,0.0,1.02,1.02,0.00,0.68,0.63,0.10,0.10,0.00,0.10,0.10,0.07,0.06
Stuart Dallas,LEE,13,1162,2.0,2.0,0.0,1.88,1.88,0.87,6.58,5.15,0.15,0.15,0.07,0.21,0.21,0.51,0.40
Jack Harrison,LEE,12,991,2.0,2.0,4.0,1.76,1.76,2.91,8.28,4.26,0.16,0.16,0.26,0.42,0.42,0.75,0.39
Conor Gallagher,WBA,9,801,2.0,2.0,0.0,0.75,0.75,0.41,1.09,0.35,0.08,0.08,0.05,0.13,0.13,0.12,0.04
Joelinton,NEW,11,648,1.0,1.0,2.0,0.86,0.86,1.12,2.61,0.75,0.12,0.12,0.16,0.28,0.28,0.36,0.10
